CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  PRIORITY LEVEL
   DC1     70         70          0          0       1351          0
   DC2      33         78         0           0       1351          0
    1      63         50         10        364        416         90        1
    2     112         67         10        462        534         90        2
    3     127        108         10        677        743         90        2
    4     129          9         10         84        147         90        2
    5      43        135         10        215        293         90        2
    6      74         99         20        176        243         90        1
    7       9        114         20        904        954         90        2
    8      2        132         10        526        584         90        2
    9      26        105         40        115        179         90        2
   10       1         34         20         77        132         90        1
   11       1        109         10        616        680         90        2
   12      95         35         10        196        252         90        2
   13       8        124         10        231        298         90        2
   14      43        140         10        410        470         90        2
   15      93         75         30        178        238         90        2
   16     113         69         20        370        440         90        2
   17      17         37         30        493        544         90        1
   18     104        106         20        390        434         90        2
   19      89         73         10         19         94         90        2
   20     121        112         20        221        277         90        2
   21       4         28         10        616        661         90        2
   22      32         79         20        655        721         90        2
   23      8        138         30        234        316         90        2
   24      36        135         10        598        669         90        1
   25      85        106         20        186        253         90        2
   26      98         70         10        467        511         90        2
   27      90        104         20        845        910         90        2
   28      18         38         30        582        638         90        1
   29      32        106         10        602        657         90        2
   30     121        110         30        870        923         90        2
