CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  PRIORITY LEVEL
  DC1     70         70          0          0       1351          0
  DC2      33         78         0           0       1351          0
    1       4         28         10        616        661         90        1
    2      32         79         20        655        721         90        2
    3      63         50         10        364        416         90        2
    4      36        135         10        598        669         90        2
    5      85        106         20        186        253         90        1
    6      98         70         10        467        511         90        1
    7      90        104         20        845        910         90        2
    8      18         38         30        582        638         90        2
    9      32        106         10        602        657         90        1
   10     121        110         30        870        923         90        1
   11      21         25         20        405        453         90        1
   12       9        114         20        904        954         90        2
   13     118        131         20        782        857         90        2
   14      21         48         10         53        123         90        2
   15      94         70         20        556        610         90        1
   16      97         28         20        110        170         90        2
   17     103         34         30        577        636         90        2
   18     119        136         30        334        384         90        2
   19     127        112         20        595        636         90        1
   20       8         87         17        401        431         10        2
   21      60         84         23        482        512         10        2
   22      34        108         10        121        151         10        1
   23      30         21         12        322        352         10        1
   24      57         53         10         94        124         10        1
   25      84         88         16        356        386         10        2
   26      50        112         18        232        262         10        2
   27     126         23         13        263        293         10        1
   28      36         54         15        372        402         10        2
   29     137        127         28        196        226         10        2
   30      31        112         20        106        136         10        1
