CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  PRIORITY LEVEL
DC1      70         70          0          0       1351          0
DC2     24         26          0          0       1351          0
1        10       137      30       147      219      90        3
2        86       37       10       478      531      90        2
3        32       79       20       655      721      90        3
4        95       35       10       196      252      90        3
5        99       112      20       846      911      90        3
6        8        124      10       231      298      90        1
7        109      131      20       72       141      90        3
8        98       70       10       467      511      90        3
9        93       75       30       178      238      90        3
10       84       99       20       32       102      90        2
11       18       38       30       582      638      90        3
12       17       37       30       493      544      90        3
13       61       59       20       931      971      90        3
14       121      110      30       870      923      90        1
15       89       73       10       19       94       90        3
16       101      96       10       101      160      90        2
17       137      6        10       611      678      90        3
18       4        125      30       319      398      90        2
19       21       48       10       53       123      90        3
20       1        34       20       77       132      90        3
21       32       128      20       1079     1123     90        3
22       97       28       20       110      170      90        1
23       134      31       20       508      566      90        3
24       4        30       40       693      768      90        2
25       119      136      30       334      384      90        3
26       62       58       20       173      229      90        2
27       34       104      10       683      760      90        3
28       1        24       10       333      385      90        3
29       125      108      20       778      825      90        1
30       57       53       10       641      697      90        3
31       28       99       10       51       93       90        3
32       94       105      10       656      728      90        2
33       34       79       10       841      902      90        3
34       76       99       20       273      330      90        3
35       102      110      10       754      814      90        2
36       22       38       20       950      1003     90        3
37       33       131      30       979      1037     90        1
38       39       128      10       65       133      90        3
39       7        115      10       801      872      90        2
40       86       102      10       93       159      90        3
