CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  PRIORITY LEVEL
   DC1      70         70          0          0       1351          0
   DC2    115        134          0          0       1351          0
    1      59         52        20         553        602          90        3
    2      25         26        20         128        179          90        3
    3       1        109        10         616        680          90        1
    4      86         36        20         384        443          90        3
    5     100        106        10         567        626          90        1
    6      57         59        10         824        890          90        3
    7     103         69        30          33         93          90        2
    8      43        140        10         410        470          90        3
    9     112         67        10         462        534          90        3
   10      90        104        20         845        910          90        1
   11     113         69        20         370        440          90        3
   12      30         27        10         772        835          90        3
   13      32        106        10         602        657          90        2
   14     104        106        20         390        434          90        3
   15      61         48        20         448        517          90        1
   16      21         25        20         405        453          90        3
   17       9        114        20         904        954          90        3
   18     118        131        20         782        857          90        2
   19      26        105        40         115        179          90        3
   20      21        115        10         306        376          90        3
   21      94         70        20         556        610          90        1
   22      94         73        10         741        791          90        3
   23      59         56        20         745        780          90        2
   24     103         34        30         577        636          90        3
   25      87         39        20          35         92          90        3
   26      78         92        30         555        610          90        3
   27     127        112        20         595        636          90        1
   28       2         28        10         148        199          90        3
   29     112         71        20         193        252          90        3
   30       8        138        30         234        316          90        2
   31      98         31        20         480        541          90        3
   32     137          3        20         522        581          90        3
   33      92        107        30         465        532          90        1
   34      94         72        20         647        703          90        3
   35     127         28        30         128        195          90        3
   36      24         24        10         583        647          90        2
   37      88         72        30         925        979          90        3
   38     123        112        20         405        459          90        3
   39     136          0        30         426        491          90        2
   40      21         44        20         115        180          90        2
