CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  PRIORITY LEVEL
  DC1     70         70          0          0       1351          0
  DC2     121        112          0          0       1351          0
  1       4         28         10        616        661         90        1
  2       6        135         40        351        386         90        3
  3      63         50         10        364        416         90        2
  4      36        135         10        598        669         90        3
  5      85        106         20        186        253         90        1
  6     102        104         20        201        258         90        3
  7     127        108         10        677        743         90        2
  8     129          9         10         84        147         90        3
  9      25         80         20        380        440         90        2
  10      43        135         10        215        293         90        3
  11     109         71         20         95        163         90        1
  12      74         99         20        176        243         90        3
  13      99         28         30        392        442         90        3
  14      34         82         10        928       1000         90        2
  15      35        123         20       1130       1198         90        3
  16      99        108         20        952        992         90        3
  17      74         93         20         23         66         90        1
  18     135          3         20        250        300         90        3
  19      80         97         10        457        518         90        2
  20      30         79         20        561        632         90        3
  21      90        101         10        933       1008         90        3
  22     110         66         10        650        710         90        1
  23     113         71         10        286        341         90        3
  24      17         43         10        205        279         90        2
  25     135          0         10        331        405         90        3
  26     103        111         20        668        719         90        2
  27     116        132         10        870        953         90        3
  28      29         28         10        865        925         90        3
  29      10        134         10        629        677         90        1
  30      35         76         10         35         91         90        3
  31       8        119         20        142        197         90        3
  32      64         61         20       1011       1077         90        2
  33     107         63         30        748        800         90        3
  34      67         55         10         15         62         90        3
  35      93         36         20         98        166         90        2
  36      28         74         20        188        260         90        3
  37      84         36         10        568        626         90        1
  38     118        108         10        972       1008         90        3
  39     132         24         10        311        384         90        3
  40       6         25         10        516        574         90        2
