CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  PRIORITY LEVEL
   DC1     70         70          0          0        634          0
   DC2      69        116          0          0        634          0
   1     120         22         39        124        134         10        2
   2      86         40         22         34         44         10        3
   3      12         84         16        209        219         10        3
   4      41         36         13         61         71         10        2
   5     104         54         13         63         73         10        3
   6     138         78         43        212        222         10        3
   7      66         82         27        511        521         10        2
   8     101          0          9        508        518         10        3
   9      64        132          8         67         77         10        2
   10      30         21         12        332        342         10        3
   11     108         30         18        106        116         10        1
   12      47         83          1        328        338         10        3
   13     115        124         11        421        431         10        3
   14      60         84         23        492        502         10        2
   15     116        105         23        154        164         10        3
   16     139         68         25         88         98         10        2
   17      32         52         32        161        171         10        3
   18      39        100         31         76         86         10        2
   19      73         96          9        176        186         10        3
   20     103         44         12         42         52         10        3
   21     140         36          1        186        196         10        2
   22     104         73         17        259        269         10        3
   23      54         33         20         40         50         10        1
   24      88         29         33        570        580         10        3
   25     138        105         24        413        423         10        3
   26      85         75         37         21         31         10        2
   27      46        112         10        296        306         10        3
   28      79         80          4         13         23         10        2
   29      50        106         25        330        340         10        3
   30      65          0         20         84         94         10        3
   31      18         70         26        401        411         10        2
   32      69        115         20        225        235         10        3
   33      17        138          8        443        453         10        2
   34      70         83         23        495        505         10        3
   35      54         78         11        560        570         10        1
   36      80        103         15        382        392         10        3
   37      29         94          1        287        297         10        2
   38      116         13          5         73         83         10        3
   39     120         60         18         64         74         10        2
   40     137         84         41        114        124         10        3
