CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  PRIORITY LEVEL
    DC1      70         70          0          0        634          0
    DC2     36        124          0          0        634          0
    1     107         77         34         37         47         10        2
    2      48         47         19         31         41         10        3
    3     116         22         32        148        158         10        3
    4     121        124         21        160        170         10        3
    5      40        113         23        487        497         10        1
    6      44        116         27         63         73         10        3
    7      132        133         24        150        160         10        3
    8      22        104         11        241        251         10        3
    9      16         92         10        369        379         10        3
   10     107         25         13        284        294         10        1
   11      90         14         31        474        484         10        3
   12     115         82         30        277        287         10        3
   13      63        129         7        216        226         10        3
   14      37         73         33        346        356         10        2
   15      92        138         12        412        422         10        3
   16      13         48         15        430        440         10        3
   17      44         58         30         28         38         10        3
   18     117          4          9        428        438         10        3
   19      58         95         35        495        505         10        1
   20      89         39         23         36         46         10        3
   21       5         99         24        334        344         10        2
   22     112         13         27        535        545         10        3
   23      97         12         10        216        226         10        3
   24      90         44          6         62         72         10        1
   25      36         38          5        448        458         10        3
   26      70         94         32         24         34         10        3
   27     109        131         16        236        246         10        3
   28     113         45          4        309        319         10        3
   29      10         86         14        421        431         10        3
   30      12         48          4         68         78         10        2
   31      28         62         23        206        216         10        3
   32      83         38         22        486        496         10        3
   33       4         71         19        170        180         10        2
   34      58         80         18        470        480         10        3
   35      84         88         16        366        376         10        1
   36     103         82         27        336        346         10        3
   37      29         60         14         42         52         10        3
   38      83         12         29        240        250         10        2
   39      78        111         22         41         51         10        3
   40     137        137         27        110        120         10        3
