CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  PRIORITY LEVEL
    DC1      70         70          0          0        634          0
    DC2     30         57          0          0        634          0
    1     109        139          8        123        133         10        1
    2      12        138         14        285        295         10        2
    3      61         57         35        385        395         10        2
    4     129         24         18        345        355         10        3
    5     102         52         15        169        179         10        2
    6     104        139         29        346        356         10        1
    7      46        133          7         86         96         10        3
    8      18        104         18        347        357         10        2
    9     139         73         10         97        107         10        3
   10      20         69         13        388        398         10        2
   11      54        106          9        304        314         10        1
   12      82        100         18        114        124         10        3
   13      50        112         18        242        252         10        2
   14      81         36         17         72         82         10        2
   15      113         35          9         60         70         10        3
   16       8         87         17        411        421         10        3
   17      140         42         13        111        121         10        1
   18      103        119         18        344        354         10        3
   19      54         41          9        291        301         10        2
   20      67         96         26        502        512         10        2
   21      55        127         17        268        278         10        1
   22      16         62         15        406        416         10        3
   23      113         32         36        154        164         10        3
   24      15          4         23        111        121         10        1
   25      35         90         20        456        466         10        3
   26      10        111         21        503        513         10        2
   27      92         22         18        200        210         10        3
   28      51         92          9        458        468         10        1
   29     137          7         40        166        176         10        3
   30     120        102         18        107        117         10        2
   31      19        120         16        271        281         10        2
   32      49        140          3        244        254         10        2
   33      38        122         13        244        254         10        1
   34      61         34          7        483        493         10        3
   35      34         72         21        559        569         10        2
   36     116         83         30        189        199         10        3
   37     110         28         20        315        325         10        1
   38     59        115         26        324        334         10        3
   39      71         70          9        490        500         10        2
   40      85        111         25        263        273         10        2
  
