CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  PRIORITY LEVEL
    DC1      70         70          0          0        634          0
    DC2      10         86          0          0        634          0
    1      84         36         10        102        132         10        2
    2      61         54         10         40         70         10        3
    3      96         26         10         57         87         10        1
    4      85        106         20         45         75         10        3
    5       6         25         10        130        160         10        2
    6      61         48         20         68         98         10        3
    7      97         29         30         49         79         10        3
    8      50        106         25        320        350         10        3
    9      15          9          2        410        440         10        1
   10      19         37         20        126        156         10        3
   11     125         68         20        192        222         10        3
   12     127        108         10        135        165         10        3
   13       4         23         10        117        147         10        2
   14      17         37         30        103        133         10        3
   15     113         32         36        144        174         10        3
   16      63         57         10         15         45         10        3
   17     137         96          9         71        101         10        3
   18     127        112         20        121        151         10        1
   19     103        119         18        334        364         10        3
   20      20         69         13        378        408         10        3
   21       2         28         10         79        109         10        3
   22     126        112         10        110        140         10        2
   23     113         69         20         70        100         10        3
   24     109         78         21        238        268         10        3
   25      86         36         20         79        109         10        3
   26      97         12         10        206        236         10        1
   27      19         39         10        138        168         10        3
   28      66         40         20         30         60         10        3
   29      63         50         10         55         85         10        2
   30     116         22         32        138        168         10        3
   31     137        101         12        169        199         10        3
   32     117         92         25        283        313         10        3
   33     122        113         20         85        115         10        1
   34     109         71         20         39         69         10        3
   35      91        108         10         72        102         10        3
   36     140         42         13        101        131         10        2
   37      16         38         20         92        122         10        3
   38      44         36          9         48         78         10        3
   39      60         84         23        482        512         10        3
   40      44        116          27         53         83          10        1
