CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  PRIORITY LEVEL
    DC1     70         70          0          0        634          0
    DC2      16         62          0          0        634          0
    1      16         92         10        359        389         10        1
    2      37        125         10        343        373         10        3
    3     112         67         10         83        113         10        2
    4      61         34          7        473        503         10        3
    5     121        123          9        257        287         10        1
    6      35        102         10        172        202         10        3
    7     109        139          8        113        143         10        2
    8      66         82         27        501        531         10        3
    9      99         26         40         70        100         10        1
   10      34        108         10        121        151         10        3
   11     135         65          3        339        369         10        2
   12      36        124         34        234        264         10        3
   13      30         21         12        322        352         10        1
   14     139        110         19        191        221         10        3
   15      10        111         21        493        523         10        2
   16      18         70         26        391        421         10        2
   17       4         28         10        144        174         10        3
   18      54         41          9        281        311         10        1
   19     107         25         13        274        304         10        3
   20     110         99         21        303        333         10        2
   21      84         88         16        356        386         10        3
   22     101          0          9        498        528         10        3
   23     119        114         20         65         95         10        1
   24     118        108         10        175        205         10        3
   25      50        112         18        232        262         10        2
   26      82        100         18        104        134         10        2
   27     126         23         13        263        293         10        3
   28      85         75         37         15         45         10        1
   29      39         13         20        376        406         10        3
   30     120        136         10        115        145         10        2
   31     105          2          1        224        254         10        2
   32      35         90         20        446        476         10        3
   33     111         66         20         94        124         10        3
   34     119        136         30        104        134         10        1
   35      84         99         20         32         62         10        3
   36     137        127         28        196        226         10        2
   37      69          6          8         83        113         10        2
   38       1         24         10        104        134         10        3
   39     138         78         43        202        232         10        1
   40      57         59         10        122        152         10        3
