CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  PRIORITY LEVEL
    DC1     70         70          0          0       1351          0
    DC2     33         78         0           0       1351          0
    1     121        112         20        221        277         90       2
    2      26        105         40        115        179         90       1
    3       1         34         20         77        132         90       2
    4      59         56         20        745        780         90       2
    5       4         30         40        693        768         90       2
    6      78         92         30        555        610         90       2
    7     125        108         20        778        825         90       1
    8     103        111         20        668        719         90       2
    9      28         99         10         51         93         90       2
   10      35         76         10         35         91         90       2
   11      24         24         10        583        647         90       1
   12       7        115         10        801        872         90       2
   13     118        108         10        972       1008         90       2
   14      94        104         10        754        813         90       2
   15     119        114         20        128        185         90       2
   16     122        131         20        608        661         90       1
   17     103        106         30        296        347         90       2
   18      14        131         10        712        784         90       2
   19      86         40         22         34         44         10       2
   20      12         84         16        209        219         10       1
   21     104         54         13         63         73         10       2
   22      16         92         10        369        379         10       2
   23     101          0          9        508        518         10       2
   24     115         82         30        277        287         10       2
   25     108         30         18        106        116         10       1
   26      92        138         12        412        422         10       2
   27      60         84         23        492        502         10       2
   28     117          4          9        428        438         10       2
   29      32         52         32        161        171         10       1
   30       5         99         24        334        344         10       2
