CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  PRIORITY LEVEL
    DC1      70         70          0          0       1351          0
    DC2      10        137         0          0       1351          0
    1       4         28         10        616        661         90       2
    2      32         79         20        655        721         90       2
    3      63         50         10        364        416         90       2
    4      36        135         10        598        669         90       1
    5      85        106         20        186        253         90       2
    6      98         70         10        467        511         90       2
    7      90        104         20        845        910         90       2
    8      18         38         30        582        638         90       1
    9      32        106         10        602        657         90       2
   10     121        110         30        870        923         90       2
   11      21         25         20        405        453         90       2
   12       9        114         20        904        954         90       1
   13     118        131         20        782        857         90       2
   14      21         48         10         53        123         90       2
   15      94         70         20        556        610         90       1
   16      97         28         20        110        170         90       2
   17     103         34         30        577        636         90       1
   18     119        136         30        334        384         90       2
   19     127        112         20        595        636         90       2
   20     113         71         10        286        341         90       2
   21       1         24         10        333        385         90       2
   22       8        138         30        234        316         90       1
   23     116        132         10        870        953         90       2
   24      92        107         30        465        532         90       2
   25      76         99         20        273        330         90       1
   26      64         61         20       1011       1077         90       2
   27     123        112         20        405        459         90       2
   28       7        115         10        801        872         90       1
   29      84         36         10        568        626         90       2
   30       2        132         10        526        584         90       2
