CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  PRIORITY LEVEL
    DC1      70         70          0          0        634          0
    DC2     120         22         0          0        634          0
    1      85        106         20         45         75         10       1
    2      61         48         20         68         98         10       2
    3      19         37         20        126        156         10       2
    4       4         23         10        117        147         10       1
    5      94        104         10        128        158         10       2
    6      20         69         13        378        408         10       2
    7     126        112         10        110        140         10       2
    8      86         36         20         79        109         10       1
    9      66         40         20         30         60         10       2
   10     137        101         12        169        199         10       2
   11     122        113         20         85        115         10       1
   12     140         42         13        101        131         10       2
   13     109        139          8        113        143         10       2
   14     135         65          3        339        369         10       1
   15      60         84         23        492        502         10       2
   16     117          4          9        428        438         10       2
   17      32         52         32        161        171         10       1
   18       5         99         24        334        344         10       2
   19     103         44         12         42         52         10       2
   20      90         44          6         62         72         10       1
   21      54         33         20         40         50         10       2
   22     109        131         16        236        246         10       2
   23      85         75         37         21         31         10       2
   24      12         48          4         68         78         10       2
   25      50        106         25        330        340         10       1
   26       4         71         19        170        180         10       2
   27      16         39         20         81        111         10       2
  28      34        104         10        147        177         10       2
  29     125        108         20        147        177         10       2
  30       4         30         40        156        186         10       2

