CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  PRIORITY LEVEL
    DC1      70         70          0          0        634          0
    DC2      84         99        0         0         634          0
    1      61         57         35        385        395         10        1
    2      44        116         27         63         73         10        2
    3      22        104         11        241        251         10        2
    4      66         82         27        511        521         10        1
    5      90         14         31        474        484         10        2
    6      30         21         12        332        342         10        2
    7      37         73         33        346        356         10        2
    8     115        124         11        421        431         10        1
    9      44         58         30         28         38         10        2
   10     139         68         25         88         98         10        2
   11      84         36         10        102        132         10        1
   12      96         26         10         57         87         10        2
   13      87        108         20         58         88         10        1
   14      99         28         30         82        112         10        2
   15     127        108         10        135        165         10        2
   16     113         32         36        144        174         10        1
   17     127        112         20        121        151         10        2
   18      88         29         33        550        580         10        2
   19     109         78         21        238        268         10        1
   20     121        112         20         74        104         10        2
   21     121        123          9        257        287         10        1
   22      70         94         32         24         54         10        2
   23      91        108         10         72        102         10        2
   24      44         36          9         48         78         10        1
   25      99         26         40         70        100         10        2
   26     102         60         30        135        165         10        2
   27       4         28         10        144        174         10        1
   28     110         99         21        303        333         10        2
   29     118        108         10        175        205         10        2
   30      83         12         29        230        260         10        1
