CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  PRIORITY LEVEL
  DC1      70         70          0          0        634          0
   DC2    121        123       0        0         634           0
  1      79         72         22          9         39         10        2
    2      16         92         10        359        389         10        2
    3      18        104         18        337        367         10        1
    4      15          9          2        410        440         10        2
    5      90         44          6         52         82         10        2
    6      63         57         10         15         45         10        1
    7     103        119         18        334        364         10        2
    8      86        102         10         35         65         10        1
    9      21         48         10         53         83         10        2
   10      19         39         10        138        168         10          2
   11     116         22         32        138        168         10        2
   12     117         92         25        283        313         10        1
   13       8         87         17        401        431         10        1
   14      60         84         23        482        512         10        2
   15      34        108         10        121        151         10        2
   16      40        113         23        487        497         10        1
   17      41         36         13         61         71         10        2
   18      46        133          7         86         96         10        2
   19     107         25         13        284        294         10        2
   20      64        132          8         67         77         10        1
   21      82        100         18        114        124         10        2
   22      47         83          1        328        338         10        2
   23      13         48         15        430        440         10        1
   24     116        105         23        154        164         10        2
   25      58         95         35        495        505         10        2
   26      39        100         31         76         86         10        1
   27     112         13         27        535        545         10        2
   28     140         36          1        186        196         10        2
   29      36         38          5        448        458         10        1
   30      88         29         33        570        580         10        2
