CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  PRIORITY LEVEL
  DC1      70         70          0          0       1351          0
  DC2     94         72        0          0       1351          0
    1      94        105         10        656        728         90        1
    2     113         71         10        286        341         90        2
    3     102        110         10        754        814         90        2
    4     107         63         30        748        800         90        2
    5     136          0         30        426        491         90        1
    6     125        108         20        778        825         90        1
    7     103        111         20        668        719         90        2
    8      28         99         10         51         93         90        2
    9      35         76         10         35         91         90        1
   10      24         24         10        583        647         90        1
   11       7        115         10        801        872         90        2
   12     118        108         10        972       1008         90        2
   13      94        104         10        754        813         90        2
   14       8        138         30        234        316         90        1
   15     116        132         10        870        953         90        1
   16      92        107         30        465        532         90        2
   17      76         99         20        273        330         90        2
   18      64         61         20       1011       1077         90        1
   19     123        112         20        405        459         90        2
   20       1         34         20         77        132         90        2
   21      84         36         10        568        626         90        1
   22       2        132         10        526        584         90        2
   23       4         28         10        616        661         90        2
   24      32         79         20        655        721         90        1
   25      63         50         10        364        416         90        2
   26      36        135         10        598        669         90        1
   27      85        106         20        186        253         90        2
   28      98         70         10        467        511         90        2
   29      90        104         20        845        910         90        1
   30      18         38         30        582        638         90        2
