CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  PRIORITY LEVEL
    DC1      70         70          0          0        634          0
    DC2      48         47         0           0        634          0
    1      29         60         14         42         52         10        2
    2      34         72         21        559        569         10        1
    3      29         94          1        287        297         10        2
    4      59        115         26        324        334         10        2
    5     121        123          9        267        277         10        1
    6     139         72         23        347        357         10        2
    7     126         23         13        273        283         10        1
    8      61         57         35        385        395         10        2
    9      44        116         27         63         73         10        2
   10      22        104         11        241        251         10        2
   11      66         82         27        511        521         10        1
   12      90         14         31        474        484         10        1
   13      30         21         12        332        342         10        2      
   14      37         73         33        346        356         10        2
   15     115        124         11        421        431         10        2
   16      44         58         30         28         38         10        1
   17     139         68         25         88         98         10        2
   18      89         39         23         36         46         10        2
   19      69        116         26        354        364         10        1
   20      65          0         20         84         94         10        2
   21      18         70         26        401        411         10        1
   22      69        115         20        225        235         10        1
   23      38        122         13        244        254         10        1
   24      54         78         11        560        570         10        2
   25      78        111         22         41         51         10        2
   26     110         28         20        315        325         10        2
   27     120         60         18         64         74         10        1
   28      99         34          9         86         96         10        2
   29      12         84         16        209        219         10        1
   30     104         54         13         63         73         10        2
