CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  PRIORITY LEVEL
  DC1      70         70          0          0        634          0
  DC2      64         61        0         0        634           0
    1      16         39         20         81        111         10        1
    2      85        106         20         45         75         10        2
    3      61         48         20         68         98         10        2
    4      19         37         20        126        156         10        1
    5       4         23         10        117        147         10        2
    6      94        104         10        128        158         10        1
    7      20         69         13        378        408         10        2
    8     126        112         10        110        140         10        2
    9      86         36         20         79        109         10        2
   10      66         40         20         30         60         10        1
   11     116         22         32        138        168         10        1
   12     117         92         25        283        313         10        2
   13       8         87         17        401        431         10        2
   14      60         84         23        482        512         10        2
   15      34        108         10        121        151         10        2
   16      30         21         12        322        352         10        1
   17      57         53         10         94        124         10        2
   18      84         88         16        356        386         10        2
   19      50        112         18        232        262         10        1
   20     126         23         13        263        293         10        1
   21      36         54         15        372        402         10        1
   22       1         24         10        104        134         10        2
   23     123        112         20         97        127         10        2
   24      34        104         10        147        177         10        2
   25     125        108         20        147        177         10        1
   26       4         30         40        156        186         10        2
   27     113         45          4        299        329         10        2
   28      89         39         23         36         66         10        1
   29      23         39         20        352        382         10        2
   30     119        136         30        104        134         10        2
